,ticker,period,context_window,fz_loss_25,gr_loss_1,gr_loss_25,fz_loss_25_min
227,JPM,p3,60,-2.078021780720583,1.2528978129110335,3.145649868963612,-2.078021780720583
233,JPM,p4,20,-3.482063086789198,0.34717325525479026,0.8764460585687942,-3.482063086789198
241,JPM,p5,60,-3.868277141878962,0.30515319782116623,0.5651986743084515,-3.868277141878962
248,XRP,p1,60,-2.035810438954539,1.6511804932494305,3.344230716324384,-2.035810438954539
254,XRP,p2,20,-3.130656832408657,0.5704107923290798,1.1980112605852336,-3.130656832408657
261,XRP,p3,20,-1.7240269130826051,2.263910666417405,4.42442706197593,-1.7240269130826051
267,XRP,p4,10,-2.7141050026450033,0.8980867319553645,1.8602340623349842,-2.7141050026450033
276,XRP,p5,60,-2.267492474459847,1.3264654259599522,2.6649508713313064,-2.267492474459847
6,AUDUSD,p1,500,-3.6005113754586664,0.4463147941334202,0.7938829980767809,-3.6005113754586664
10,AUDUSD,p2,60,-3.618797131007289,0.25426724259252426,0.6530320467518707,-3.618797131007289
19,AUDUSD,p3,375,-2.700378896013057,0.6349083715020502,1.876511434778642,-2.700378896013057
24,AUDUSD,p4,60,-4.465728334009769,0.19244435256016193,0.3159139939586581,-4.465728334009769
32,AUDUSD,p5,125,-4.782232180175606,0.11069221026480408,0.20741586645846238,-4.782232180175606
40,CL,p1,375,-3.037650474363599,0.5594605920137704,1.2480273673391094,-3.037650474363599
46,CL,p2,125,-3.158674412877931,0.5903166780201999,1.1687696498759033,-3.158674412877931
52,CL,p3,60,-1.926862408211994,1.7395608319729932,3.4711342810766164,-1.926862408211994
62,CL,p4,500,-3.771205097237925,0.2857654046431139,0.5564074621077032,-3.771205097237925
67,CL,p5,125,-2.6450960701544073,0.850522560354486,1.5751839430514827,-2.6450960701544073
76,GBPUSD,p1,500,-4.439997819457414,0.1613239562829745,0.31063364377649727,-4.439997819457414
81,GBPUSD,p2,125,-4.156545863535443,0.1521676935830939,0.3574467869679997,-4.156545863535443
88,GBPUSD,p3,125,-4.044631135648784,0.25258855798185625,0.4826147757266649,-4.044631135648784
92,GBPUSD,p4,10,-4.0855547676213275,0.23238809281557593,0.4269739694459708,-4.0855547676213275
103,GBPUSD,p5,375,-4.557851602599935,0.14267140045169568,0.29111998829257135,-4.557851602599935
109,GC,p1,125,-3.632803223394186,0.3310385076906815,0.6805773678073447,-3.632803223394186
115,GC,p2,60,-3.8446665623261747,0.2402313509535462,0.5441603197117538,-3.8446665623261747
124,GC,p3,375,-3.3773100823235933,0.37286919977894123,0.817972062530682,-3.3773100823235933
130,GC,p4,125,-2.8518561082763303,0.6487275421728805,1.1167024642384333,-2.8518561082763303
138,GC,p5,375,-4.1907291983725,0.1656933162654176,0.41833656151253124,-4.1907291983725
144,HG,p1,125,-3.1939908960077927,0.5285032612725439,1.0651863284760685,-3.1939908960077927
151,HG,p2,125,-2.989945339087884,0.6781025671098087,1.2854208253627677,-2.989945339087884
157,HG,p3,60,-2.4936143852493946,0.72526845011272,1.7663177436868664,-2.4936143852493946
166,HG,p4,375,-2.587655580057559,0.7140916926794512,1.3765613656061306,-2.587655580057559
171,HG,p5,60,-3.567042425259602,0.2650235915381332,0.728967425007228,-3.567042425259602
180,NG,p1,375,-2.875119737678645,0.6683137784869808,1.2693704895627436,-2.875119737678645
188,NG,p2,500,-3.488905363185717,0.36065657738128726,0.7840844532893114,-3.488905363185717
194,NG,p3,375,-2.8698094071055467,0.6493926461834592,1.374984524907895,-2.8698094071055467
199,NG,p4,60,-2.866482426448171,0.7379820623417598,1.531927386824487,-2.866482426448171
205,NG,p5,20,-2.45143281713378,1.0753725706295756,2.1014684400420043,-2.45143281713378
214,SI,p1,125,-2.7564599643310874,0.7411410842887779,1.5943632867231394,-2.7564599643310874
220,SI,p2,60,-2.747558469541823,0.693337522598884,1.337692250718103,-2.747558469541823
224,SI,p3,5,-1.7975231489233958,1.8036626667613789,3.9522626787275716,-1.7975231489233958
235,SI,p4,125,-3.6462669939283345,0.40614602304511627,0.6852688910130685,-3.6462669939283345
239,SI,p5,10,-3.177327495823923,0.4349306254445647,1.0027433877395173,-3.177327495823923
247,USDCAD,p1,20,-4.365381561279639,0.1777606382984699,0.28593969355988424,-4.365381561279639
256,USDCAD,p2,125,-3.6358028444512533,0.2184571291717257,0.3988363708744279,-3.6358028444512533
263,USDCAD,p3,125,-3.8889256162352526,0.24790529025909214,0.5164373382480371,-3.8889256162352526
268,USDCAD,p4,20,-4.537324707845934,0.1533267755252141,0.2934599794862462,-4.537324707845934
278,USDCAD,p5,375,-5.01188901512521,0.08305204774130992,0.1743118046077306,-5.01188901512521
286,USDJPY,p1,500,-4.3845489158282485,0.15614017921248155,0.33078379845199885,-4.3845489158282485
293,USDJPY,p2,500,-4.653380182456675,0.15406648230741474,0.2592038498253702,-4.653380182456675
297,USDJPY,p3,60,-3.927534355720106,0.2331803279169757,0.49731521140385904,-3.927534355720106
303,USDJPY,p4,20,-4.316595098469235,0.16969021842413667,0.315086336898396,-4.316595098469235
313,USDJPY,p5,375,-5.049984203509849,0.07450474250423803,0.1702681341328359,-5.049984203509849
