,year,rule,region_pol,region_geo,property,polyarchy,justice,education,country_text_id,country_name
8457,2019,0.387,4,8,0.593,0.409,0.5489999999999999,2.68,MOZ,Mozambique
8688,2019,0.588,8,14,0.682,0.605,0.82,4.3660000000000005,NPL,Nepal
8870,2019,0.051,2,17,0.5479999999999999,0.245,0.23,7.05,NIC,Nicaragua
8968,2019,0.57,4,6,0.6,0.457,0.764,1.31,NER,Niger
9077,2019,0.49,4,8,0.58,0.37200000000000005,0.435,6.354,ZMB,Zambia
9197,2019,0.187,4,8,0.344,0.289,0.309,7.917999999999999,ZWE,Zimbabwe
9317,2019,0.115,4,6,0.35700000000000004,0.442,0.285,3.347,GIN,Guinea
9437,2019,0.568,4,6,0.474,0.58,0.44299999999999995,3.78,CIV,Ivory Coast
9553,2019,0.261,4,6,0.637,0.368,0.293,4.486000000000001,MRT,Mauritania
9732,2019,0.968,5,16,0.866,0.866,0.8959999999999999,13.08,CAN,Canada
9963,2019,0.987,5,15,0.898,0.838,0.975,13.14,AUS,Australia
10083,2019,0.9079999999999999,4,9,0.7829999999999999,0.6679999999999999,0.866,9.889,BWA,Botswana
10187,2019,0.054000000000000006,4,8,0.268,0.162,0.231,2.331,BDI,Burundi
10307,2019,0.879,4,6,0.831,0.8,0.794,,CPV,Cape Verde
10407,2019,0.275,4,7,0.391,0.38299999999999995,0.265,3.0580000000000003,CAF,Central African Republic
10638,2019,0.955,2,18,0.8740000000000001,0.773,0.871,10.36,CHL,Chile
10820,2019,0.935,2,17,0.856,0.889,0.9309999999999999,7.5,CRI,Costa Rica
10940,2019,0.649,7,13,0.594,0.754,0.504,,TLS,Timor-Leste
11130,2019,0.645,2,18,0.8370000000000001,0.6729999999999999,0.547,8.579,ECU,Ecuador
11361,2019,0.9490000000000001,5,1,0.8540000000000001,0.879,0.927,12.46,FRA,France
11588,2019,0.986,5,1,0.889,0.8340000000000001,0.983,12.98,DEU,Germany
11819,2019,0.306,2,17,0.579,0.594,0.22399999999999998,5.5,GTM,Guatemala
12050,2019,0.184,3,14,0.713,0.217,0.389,6.25,IRN,Iran
12150,2019,0.253,3,10,0.693,0.39799999999999996,0.358,6.78,IRQ,Iraq
12251,2019,0.9790000000000001,5,2,0.8540000000000001,0.8640000000000001,0.9640000000000001,10.69,IRL,Ireland
12410,2019,0.9079999999999999,5,3,0.8959999999999999,0.86,0.968,10.95,ITA,Italy
12508,2019,0.708,3,10,0.7609999999999999,0.276,0.763,9.177,JOR,Jordan
12558,2019,0.946,1,2,0.862,0.8109999999999999,0.909,11.015,LVA,Latvia
12678,2019,0.662,4,9,0.652,0.568,0.6829999999999999,6.5889999999999995,LSO,Lesotho
12877,2019,0.377,4,6,0.775,0.625,0.701,5.5760000000000005,LBR,Liberia
12997,2019,0.484,4,8,0.514,0.5,0.794,4.77,MWI,Malawi
